time,open,high,low,close,tick_volume,spread,real_volume
2024-09-02 14:35:00,2500.457,2500.875,2500.152,2500.554,369,159,0
2024-09-02 14:40:00,2500.497,2501.111,2499.741,2500.949,414,160,0
2024-09-02 14:45:00,2500.986,2501.974,2500.986,2501.376,493,159,0
2024-09-02 14:50:00,2501.384,2502.305,2501.152,2502.11,499,160,0
2024-09-02 14:55:00,2502.143,2502.441,2501.61,2501.955,490,159,0
2024-09-02 15:00:00,2501.991,2502.405,2501.332,2501.516,446,160,0
2024-09-02 15:05:00,2501.518,2502.061,2500.991,2501.298,446,160,0
2024-09-02 15:10:00,2501.29,2501.758,2500.646,2500.696,442,159,0
2024-09-02 15:15:00,2500.695,2500.929,2500.076,2500.616,408,160,0
2024-09-02 15:20:00,2500.616,2500.916,2500.072,2500.561,326,160,0
2024-09-02 15:25:00,2500.559,2501.777,2500.404,2501.303,438,159,0
2024-09-02 15:30:00,2501.272,2501.624,2500.969,2501.228,300,160,0
2024-09-02 15:35:00,2501.188,2501.538,2501.017,2501.427,322,160,0
2024-09-02 15:40:00,2501.42,2501.42,2500.035,2500.183,315,160,0
2024-09-02 15:45:00,2500.178,2501.11,2499.842,2500.941,343,160,0
2024-09-02 15:50:00,2500.898,2500.976,2500.491,2500.96,258,160,0
2024-09-02 15:55:00,2500.941,2501.628,2500.719,2501.485,244,159,0
2024-09-02 16:00:00,2501.49,2501.902,2501.167,2501.483,274,160,0
2024-09-02 16:05:00,2501.467,2501.831,2501.221,2501.422,261,160,0
2024-09-02 16:10:00,2501.401,2501.488,2500.794,2500.836,238,159,0
2024-09-02 16:15:00,2500.846,2501.005,2500.58,2500.775,196,160,0
2024-09-02 16:20:00,2500.77,2501.14,2500.653,2500.71,201,160,0
2024-09-02 16:25:00,2500.714,2501.003,2500.462,2500.744,235,160,0
2024-09-02 16:30:00,2500.779,2501.056,2500.689,2500.995,206,160,0
2024-09-02 16:35:00,2500.998,2501.698,2500.666,2501.071,201,160,0
2024-09-02 16:40:00,2501.082,2501.284,2500.835,2500.963,192,160,0
